ROOMS,YR_RMDL,CENSUS_TRACT,SQUARE,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
6,2005.0,5600.0,28,20037.0,3,1,1.0,869900.0
10,2014.0,10800.0,81,20037.0,5,2,1.0,1200000.0
6,2014.0,4801.0,478,20001.0,3,2,1.0,1130000.0
8,2009.0,4801.0,444,20001.0,4,1,1.0,911000.0
6,2010.0,4801.0,444,20001.0,3,1,1.0,930000.0
6,2006.0,4801.0,444,20001.0,3,2,2.0,1092000.0
12,1940.0,4801.0,445,20001.0,4,4,4.0,1200000.0
12,2009.0,5001.0,277,20009.0,5,4,2.0,1659000.0
8,2017.0,4901.0,396,20001.0,3,3,1.0,1450000.0
12,2005.0,4901.0,396,20001.0,6,4,2.0,1250000.0
6,2013.0,4901.0,363,20001.0,3,3,2.0,1415000.0
7,2016.0,6400.0,651,20024.0,3,2,1.0,750000.0
7,2011.0,4801.0,445,20001.0,2,2,1.0,750000.0
10,2017.0,4902.0,339,20001.0,3,3,2.0,1300000.0
6,2008.0,4901.0,363,20001.0,3,1,1.0,935000.0
9,2016.0,4600.0,520,20001.0,4,3,1.0,1140000.0
10,2017.0,4600.0,520,20001.0,3,2,1.0,915000.0
6,2016.0,4600.0,520,20001.0,4,3,1.0,935000.0
7,2002.0,4802.0,449,20001.0,6,3,3.0,900000.0
4,1980.0,5001.0,310,20009.0,2,1,1.0,430000.0
8,2011.0,4901.0,365,20001.0,3,2,1.0,2600000.0
11,2011.0,4901.0,366,20001.0,4,3,2.0,1725000.0
9,1966.0,7000.0,795,20003.0,4,2,2.0,1006000.0
14,2004.0,7000.0,795,20003.0,7,7,2.0,2650000.0
12,2015.0,6500.0,733,20003.0,5,5,4.0,1600000.0
9,2011.0,8301.0,780,20002.0,4,2,2.0,1150000.0
11,1958.0,8301.0,812,20002.0,5,3,2.0,1255000.0
5,1978.0,8301.0,812,20002.0,2,1,1.0,792500.0
9,2013.0,8301.0,753,20002.0,4,3,1.0,1375000.0
6,2016.0,6500.0,736,20003.0,3,1,1.0,815000.0
6,2003.0,6500.0,736,20003.0,2,1,1.0,830000.0
5,2011.0,6500.0,736,20003.0,2,2,1.0,883550.0
6,1992.0,5500.0,70,20037.0,2,2,1.0,1301400.0
9,2008.0,5301.0,155,20009.0,5,3,2.0,2430000.0
9,2004.0,5301.0,155,20009.0,3,2,2.0,1270000.0
8,2014.0,4300.0,202,20009.0,4,3,1.0,939000.0
8,1998.0,4300.0,202,20009.0,3,2,2.0,882000.0
10,2015.0,4300.0,202,20009.0,4,2,2.0,1099000.0
7,2000.0,4300.0,202,20009.0,3,3,2.0,1145000.0
7,2004.0,5301.0,156,20009.0,5,4,3.0,2350000.0
14,2000.0,5301.0,156,20009.0,7,5,2.0,1950000.0
8,1995.0,5301.0,156,20036.0,4,3,2.0,1600000.0
8,2003.0,5001.0,241,20005.0,3,3,1.0,1385000.0
6,2003.0,5001.0,241,20005.0,2,1,2.0,1200000.0
14,2002.0,5001.0,241,20005.0,8,2,2.0,2900000.0
9,2004.0,5001.0,241,20005.0,3,3,2.0,1795000.0
9,2016.0,4300.0,206,20009.0,2,2,2.0,1360000.0
5,2007.0,4300.0,206,20009.0,3,2,1.0,1100000.0
11,2016.0,5002.0,312,20005.0,5,3,3.0,1355000.0
6,2008.0,4902.0,367,20001.0,3,2,1.0,970250.0
7,2010.0,4902.0,367,20001.0,3,1,1.0,940000.0
3,2008.0,4902.0,367,20001.0,1,1,1.0,900000.0
9,2014.0,4902.0,367,20001.0,4,3,1.0,1029000.0
6,2004.0,4902.0,367,20001.0,1,1,1.0,1149000.0
4,2004.0,6400.0,599,20024.0,2,1,1.0,550250.0
6,2016.0,6400.0,599,20024.0,2,2,2.0,530007.0
6,2005.0,4400.0,271,20009.0,3,2,1.0,1329000.0
6,2011.0,4400.0,271,20009.0,3,2,1.0,993500.0
4,2003.0,4400.0,331,20001.0,2,1,1.0,699900.0
6,2017.0,4400.0,331,20001.0,2,2,1.0,679900.0
9,2016.0,4801.0,511,20001.0,3,3,2.0,1090000.0
6,2003.0,4400.0,271,20009.0,2,1,1.0,687250.0
6,1989.0,4400.0,271,20009.0,2,1,1.0,640000.0
9,2017.0,4400.0,334,20001.0,4,4,1.0,1500000.0
9,2015.0,4400.0,334,20001.0,3,2,2.0,1245000.0
5,2009.0,4400.0,271,20009.0,2,1,1.0,710000.0
5,2000.0,4400.0,271,20009.0,2,1,1.0,665000.0
6,2007.0,4400.0,271,20009.0,2,1,1.0,805000.0
5,2001.0,4400.0,271,20009.0,2,2,1.0,835000.0
4,2017.0,4802.0,513,20001.0,4,2,1.0,995000.0
7,2004.0,4400.0,271,20009.0,2,2,1.0,797500.0
6,2015.0,4600.0,616,20001.0,2,2,1.0,758000.0
6,2003.0,6500.0,694,20003.0,3,2,2.0,900000.0
8,2006.0,4600.0,618,20001.0,4,2,2.0,651000.0
6,2011.0,6500.0,735,20003.0,3,2,1.0,1450000.0
6,2017.0,6500.0,735,20003.0,3,2,1.0,1300000.0
7,2015.0,4600.0,550,20001.0,4,2,1.0,735000.0
10,2017.0,4600.0,550,20001.0,5,4,2.0,1535000.0
6,1990.0,4600.0,552,20001.0,3,1,1.0,600000.0
7,2017.0,4600.0,552,20001.0,2,2,1.0,850000.0
6,2005.0,4801.0,475,20001.0,3,1,1.0,815000.0
6,2009.0,4801.0,475,20001.0,3,2,1.0,749550.0
12,2006.0,4801.0,475,20001.0,3,2,1.0,750000.0
6,2007.0,4801.0,509,20001.0,2,3,2.0,712000.0
8,2009.0,7000.0,823,20003.0,4,3,2.0,1075000.0
6,2013.0,4600.0,615,20001.0,3,3,1.0,825000.0
9,2007.0,4600.0,616,20001.0,4,4,2.0,995000.0
9,2013.0,4600.0,617,20001.0,5,4,1.0,1250000.0
7,2007.0,4600.0,617,20001.0,3,3,2.0,826000.0
9,2003.0,8200.0,756,20002.0,4,4,2.0,1500000.0
6,2010.0,4600.0,618,20001.0,5,2,1.0,750000.0
9,2005.0,4600.0,618,20001.0,4,3,2.0,840000.0
6,2005.0,6400.0,656,20024.0,2,2,2.0,575000.0
6,1999.0,6500.0,736,20003.0,3,2,1.0,1275000.0
8,2016.0,4600.0,552,20001.0,3,2,1.0,778000.0
7,1980.0,4600.0,552,20001.0,4,1,1.0,630000.0
6,2006.0,4600.0,553,20001.0,3,2,1.0,610000.0
9,1980.0,6500.0,736,20003.0,3,1,1.0,725000.0
7,2004.0,10600.0,829,20002.0,3,2,1.0,840000.0
4,1975.0,6600.0,819,20003.0,2,1,1.0,749900.0
10,2017.0,6500.0,693,20003.0,5,3,2.0,1300000.0
4,2004.0,4600.0,552,20001.0,4,2,2.0,825000.0
6,2000.0,7000.0,795,20003.0,3,1,1.0,685000.0
8,1963.0,6500.0,734,20003.0,3,3,2.0,741000.0
8,1990.0,6500.0,734,20003.0,3,2,1.0,912000.0
6,2003.0,4600.0,521,20001.0,2,2,1.0,766000.0
9,1992.0,4600.0,521,20001.0,6,3,3.0,646380.0
7,2016.0,4802.0,480,20001.0,4,3,2.0,1455000.0
7,2014.0,4600.0,507,20001.0,3,2,1.0,1055000.0
5,2016.0,4600.0,553,20001.0,2,1,1.0,615000.0
6,2016.0,6400.0,599,20024.0,2,2,2.0,555000.0
6,2005.0,4801.0,508,20001.0,2,2,1.0,789000.0
6,2004.0,8301.0,813,20002.0,2,1,1.0,739000.0
8,1975.0,8301.0,753,20002.0,4,2,1.0,925000.0
10,2015.0,8301.0,753,20002.0,4,3,2.0,480700.0
4,2011.0,4600.0,509,20001.0,3,2,1.0,1094000.0
4,2012.0,4600.0,509,20001.0,2,2,1.0,730000.0
4,1983.0,8301.0,778,20002.0,1,1,1.0,515000.0
6,2004.0,4600.0,617,20001.0,3,1,1.0,665000.0
9,2007.0,6500.0,736,20003.0,4,3,2.0,1220000.0
8,1997.0,6500.0,694,20003.0,3,2,1.0,875000.0
6,1992.0,4600.0,552,20001.0,2,2,1.0,735000.0
5,2005.0,6500.0,734,20003.0,2,2,1.0,1150000.0
6,2011.0,4600.0,553,20001.0,3,3,1.0,775000.0
6,2009.0,4600.0,553,20001.0,3,2,1.0,760000.0
8,2017.0,4600.0,552,20001.0,4,3,1.0,1122500.0
6,2016.0,7000.0,822,20003.0,3,3,1.0,1350000.0
5,2008.0,4801.0,510,20001.0,2,1,1.0,530000.0
6,2004.0,7000.0,822,20003.0,2,2,1.0,799900.0
9,2010.0,4600.0,614,20001.0,5,3,2.0,829000.0
6,2001.0,4600.0,614,20001.0,3,2,2.0,885000.0
13,1987.0,6600.0,869,20003.0,5,5,1.0,1378000.0
6,2009.0,6600.0,870,20003.0,2,1,1.0,973000.0
6,2000.0,6600.0,870,20003.0,3,2,1.0,1100000.0
6,2009.0,6600.0,870,20003.0,3,2,1.0,1118000.0
4,2016.0,8301.0,813,20002.0,2,2,1.0,837777.0
7,2014.0,6600.0,819,20003.0,4,3,1.0,1575000.0
10,2005.0,8200.0,868,20003.0,5,3,2.0,1585000.0
11,1964.0,8200.0,868,20003.0,5,5,2.0,2950000.0
11,1945.0,8200.0,814,20002.0,4,4,3.0,1131000.0
7,1960.0,8200.0,815,20002.0,3,1,1.0,1245000.0
11,2017.0,8200.0,758,20002.0,6,2,1.0,1520000.0
4,1951.0,8200.0,759,20002.0,2,1,1.0,580000.0
5,2017.0,10600.0,750,20002.0,2,2,1.0,629900.0
7,2011.0,10600.0,806,20002.0,4,3,2.0,906050.0
10,2003.0,10600.0,830,20002.0,5,2,1.0,946500.0
8,2017.0,8301.0,777,20002.0,3,2,1.0,1100000.0
6,2005.0,8301.0,777,20002.0,3,2,1.0,945000.0
7,2017.0,6600.0,819,20003.0,4,3,1.0,1630000.0
10,2012.0,8302.0,861,20002.0,4,2,2.0,1125000.0
6,2009.0,8302.0,861,20002.0,4,2,2.0,947000.0
6,2015.0,8302.0,861,20002.0,3,1,1.0,1010000.0
9,1973.0,8200.0,815,20002.0,3,3,3.0,926000.0
6,2012.0,10600.0,773,20002.0,3,2,1.0,692500.0
8,2003.0,10600.0,773,20002.0,3,2,2.0,800000.0
6,2011.0,10600.0,773,20002.0,2,2,1.0,755000.0
8,2016.0,10600.0,773,20002.0,2,2,1.0,700000.0
10,2008.0,6600.0,869,20003.0,5,2,1.0,3000000.0
8,1977.0,6600.0,869,20003.0,3,3,1.0,1140000.0
8,1962.0,6600.0,869,20003.0,4,1,1.0,1600632.0
6,2006.0,10600.0,855,20002.0,3,1,2.0,640000.0
5,2005.0,10600.0,750,20002.0,2,1,1.0,575000.0
10,2000.0,6500.0,762,20003.0,4,3,2.0,1630000.0
5,2014.0,6500.0,762,20003.0,4,2,1.0,945000.0
9,2007.0,6600.0,788,20003.0,3,2,1.0,1700000.0
6,2004.0,10600.0,855,20002.0,2,2,1.0,675000.0
6,2015.0,10600.0,855,20002.0,3,1,1.0,699900.0
6,2017.0,10600.0,831,20002.0,3,1,1.0,885000.0
7,1980.0,8200.0,784,20002.0,3,1,1.0,1200000.0
5,2009.0,10600.0,807,20002.0,2,1,1.0,779000.0
7,2012.0,8302.0,861,20002.0,3,3,1.0,1300000.0
8,2014.0,6500.0,821,20003.0,4,3,1.0,1850000.0
6,2006.0,8200.0,867,20002.0,2,1,1.0,876500.0
7,2005.0,8200.0,816,20003.0,3,2,1.0,1200000.0
6,1961.0,8200.0,816,20002.0,3,1,1.0,840000.0
6,2004.0,10600.0,773,20002.0,2,2,1.0,693000.0
5,2011.0,10600.0,773,20002.0,3,2,1.0,730500.0
6,2011.0,6600.0,788,20003.0,4,2,1.0,1285000.0
6,2017.0,7000.0,878,20003.0,4,3,1.0,1028500.0
6,2017.0,10600.0,855,20002.0,3,2,1.0,750000.0
6,2004.0,10600.0,855,20002.0,5,3,1.0,657000.0
7,2017.0,8200.0,867,20002.0,3,2,1.0,1010635.0
8,1999.0,7000.0,846,20003.0,3,2,2.0,750000.0
2,1995.0,6600.0,788,20003.0,1,1,1.0,566000.0
15,2017.0,6500.0,790,20003.0,4,4,4.0,1500000.0
6,2003.0,10600.0,855,20002.0,3,1,1.0,600000.0
8,2007.0,8301.0,833,20002.0,3,3,2.0,1220000.0
11,2016.0,8200.0,785,20002.0,4,3,2.0,1790000.0
6,2005.0,10600.0,805,20002.0,3,2,1.0,810000.0
7,2004.0,8302.0,861,20002.0,3,2,1.0,1050000.0
9,1979.0,8302.0,861,20002.0,3,1,1.0,756000.0
6,1989.0,10600.0,828,20002.0,3,1,1.0,510000.0
14,2016.0,6600.0,817,20003.0,6,3,2.0,2090000.0
12,1974.0,6600.0,817,20003.0,4,4,4.0,950000.0
9,2011.0,7000.0,878,20003.0,4,3,1.0,2200000.0
6,2002.0,7000.0,846,20003.0,3,1,1.0,889999.0
8,1960.0,7000.0,846,20003.0,3,4,2.0,1400000.0
11,2014.0,8200.0,868,20003.0,4,3,1.0,1925000.0
6,2015.0,6600.0,818,20003.0,4,3,1.0,1780000.0
8,2000.0,6500.0,765,20003.0,3,2,1.0,1098000.0
6,2011.0,10600.0,774,20002.0,3,2,1.0,813500.0
6,2005.0,6500.0,791,20003.0,4,3,2.0,925000.0
8,1978.0,6500.0,791,20003.0,4,2,1.0,930000.0
6,2004.0,10600.0,855,20002.0,3,2,1.0,725000.0
7,1970.0,10600.0,773,20002.0,3,1,1.0,580000.0
8,2017.0,10600.0,773,20002.0,3,3,1.0,835000.0
7,2009.0,10600.0,808,20002.0,4,2,1.0,876000.0
6,1981.0,10600.0,808,20002.0,3,2,1.0,720000.0
5,2016.0,10600.0,808,20002.0,2,1,1.0,615000.0
9,2004.0,8301.0,834,20002.0,3,2,1.0,900000.0
6,2011.0,8301.0,834,20002.0,4,2,2.0,1005000.0
6,2005.0,10600.0,829,20002.0,3,1,1.0,440000.0
8,2000.0,10600.0,805,20002.0,3,2,2.0,720000.0
10,2006.0,6500.0,736,20003.0,4,3,1.0,1272000.0
7,1976.0,6500.0,736,20003.0,3,1,1.0,790000.0
10,2014.0,6500.0,736,20003.0,4,3,2.0,1325000.0
9,1965.0,6500.0,736,20003.0,4,2,2.0,949000.0
6,2005.0,8200.0,866,20002.0,3,2,1.0,1075000.0
7,2017.0,8100.0,916,20002.0,3,3,1.0,1017500.0
7,1999.0,8100.0,917,20002.0,3,2,1.0,1062776.0
6,2007.0,8100.0,937,20002.0,2,2,1.0,840402.0
11,2017.0,8302.0,891,20002.0,4,3,2.0,1090000.0
6,2005.0,6600.0,872,20003.0,3,1,1.0,925000.0
6,1971.0,6600.0,872,20003.0,3,2,2.0,575000.0
10,2004.0,6600.0,872,20003.0,5,3,2.0,1487000.0
5,1975.0,8402.0,913,20002.0,2,1,1.0,616000.0
6,2017.0,7000.0,950,20003.0,3,2,1.0,919000.0
10,2016.0,10600.0,855,20002.0,3,3,1.0,771000.0
5,1990.0,10600.0,855,20002.0,3,1,1.0,380000.0
6,2014.0,8410.0,932,20002.0,3,2,1.0,995000.0
6,1992.0,8410.0,932,20002.0,2,1,1.0,530000.0
7,2005.0,6600.0,843,20003.0,3,2,1.0,1100000.0
5,2015.0,8301.0,834,20002.0,2,2,1.0,965000.0
6,2007.0,8301.0,834,20002.0,4,3,2.0,1167000.0
7,2002.0,8301.0,835,20002.0,2,2,1.0,410000.0
7,1978.0,8301.0,835,20002.0,2,2,1.0,455000.0
10,2008.0,8200.0,839,20002.0,5,4,2.0,1330000.0
8,2005.0,8200.0,866,20002.0,3,3,1.0,1250000.0
11,1987.0,8200.0,866,20002.0,6,4,2.0,1800000.0
8,2007.0,8402.0,913,20002.0,3,1,1.0,627900.0
5,2005.0,7000.0,877,20003.0,3,2,1.0,1256000.0
7,2017.0,8410.0,932,20002.0,3,2,1.0,460000.0
8,2009.0,8410.0,932,20002.0,3,2,1.0,770000.0
6,2005.0,8410.0,932,20002.0,3,3,1.0,1015000.0
8,2005.0,8410.0,932,20002.0,2,2,1.0,680000.0
8,2017.0,8410.0,932,20002.0,3,3,1.0,825000.0
6,2012.0,8410.0,932,20002.0,3,3,1.0,870000.0
6,2010.0,7000.0,877,20003.0,4,3,1.0,1550000.0
7,1962.0,7000.0,877,20003.0,3,1,1.0,1155000.0
6,1998.0,7000.0,877,20003.0,3,1,1.0,1100000.0
9,2002.0,7000.0,877,20003.0,3,2,1.0,925000.0
6,1966.0,7000.0,877,20003.0,2,2,1.0,817500.0
7,2010.0,10600.0,855,20002.0,4,2,2.0,850000.0
7,2015.0,8301.0,835,20002.0,3,2,1.0,900000.0
6,2017.0,8302.0,859,20002.0,4,3,2.0,1301000.0
