Rank,Tier,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
277,10,,Hakeem Butler,ARI,WR96,12,176,332,263.4,31.8,279,2
278,10,,Chris Hogan,CAR,WR97,7,160,378,270.7,34.5,300,22
279,10,,Chris Boswell,PIT,K19,7,198,316,271.1,21.7,278,-1
280,10,,Rashard Higgins,CLE,WR98,7,107,349,256.6,48.7,272,-8
281,10,,Taywan Taylor,TEN,WR99,11,197,367,265.2,38,392,111
282,10,,Corey Clement,PHI,RB77,10,189,337,273.2,31.4,356,74
283,10,,Breshad Perriman,TB,WR100,7,141,364,268,45.3,363,80
284,10,,Arizona (ARI),,DST23,12,210,335,283.7,27.6,261,-23
285,10,,Darwin Thompson,KC,RB78,12,128,336,251,56.6,212,-73
286,10,,Demaryius Thomas,NE,WR101,10,148,421,260.2,50,241,-45
287,11,,Brandon McManus,DEN,K20,10,203,317,279.6,17.4,257,-30
288,11,,Benny Snell Jr.,PIT,RB79,7,158,359,272.9,41.6,248,-40
289,11,,Greg Joseph,CLE,K21,7,192,322,276.7,29.2,406,117
290,11,,Alfred Blue,JAC,RB80,10,146,380,283.9,49.7,314,24
291,11,,Case Keenum,WAS,QB34,10,191,416,297.5,38,353,62
292,11,,Josh Lambo,JAC,K22,10,204,352,285.2,21.2,320,28
293,11,,Washington (WAS),,DST24,10,195,333,290,29.6,271,-22
294,11,,Jordan Wilkins,IND,RB81,6,235,389,287.9,33.3,357,63
295,11,,Nick Vannett,SEA,TE33,11,199,377,275.2,36,478,183
296,11,,Miles Boykin,BAL,WR102,8,163,355,255.2,48,289,-7
297,11,,Giorgio Tavecchio,ATL,K23,9,182,313,266.1,36.2,207,-90
298,11,,Dexter Williams,GB,RB82,11,152,402,276.2,50.3,275,-23
299,11,,Ty Montgomery,NYJ,RB83,4,156,381,283.2,42.5,318,19
300,11,,Detroit (DET),,DST25,5,212,346,297.6,23.4,247,-53
301,11,,Josh Adams,PHI,RB84,10,130,476,282.6,60.2,403,102
302,11,,Steven Hauschka,BUF,K24,6,208,330,294,21.1,306,4
303,11,,Demarcus Robinson,KC,WR103,12,113,350,265.3,39.4,285,-18
304,11,,Devontae Booker,DEN,RB85,10,172,372,290.9,36.6,368,64
305,11,,Cordarrelle Patterson,CHI,WR104,6,209,347,286.2,31.2,371,66
306,11,,Charles Clay,ARI,TE34,12,201,359,285,32.8,398,92
307,11,,Cairo Santos,TB,K25,7,214,332,299.9,25.5,568,261
308,11,,New York (NYJ),,DST26,4,180,332,283.2,27.7,242,-66
309,11,,Terry McLaurin,WAS,WR105,10,88,372,250.4,53.9,328,19
310,11,,Daniel Carlson,OAK,K26,6,209,341,301.9,22.1,332,22
311,11,,New York (NYG),,DST27,11,215,345,304.8,23.9,281,-30
312,11,,Jake Kumerow,GB,WR106,11,208,360,293.8,34.1,373,61
313,11,,Will Dissly,SEA,TE35,11,160,339,249,45.6,307,-6
314,11,,Jonnu Smith,TEN,TE36,11,139,362,277.1,33,386,72
315,11,,Diontae Johnson,PIT,WR107,7,133,371,279.3,43.5,331,16
316,11,,Ryan Grant,OAK,WR108,6,212,390,290.6,35.1,971,655
317,11,,Wendell Smallwood,PHI,RB86,10,195,431,307.5,37,376,59
318,11,,Deon Cain,IND,WR109,6,197,397,296,44.6,309,-9
319,11,,Wayne Gallman,NYG,RB87,11,233,381,305.5,29.7,341,22
320,11,,Irv Smith Jr.,MIN,TE37,12,212,354,278.1,34.1,235,-85
321,11,,Jordan Thomas,HOU,TE38,10,169,377,252.1,50.9,305,-16
322,11,,San Francisco (SF),,DST28,4,184,350,305.1,31.6,236,-86
323,11,,Keith Kirkwood,NO,WR110,9,205,379,297.8,34.4,518,195
324,11,,Matt LaCosse,NE,TE39,10,159,366,265.3,46.9,276,-48
325,11,,Travis Benjamin,LAC,WR111,12,195,351,263.3,41.4,367,42
326,11,,Jake Butt,DEN,TE40,10,190,384,296.1,37.6,381,55
327,11,,Ryan Tannehill,TEN,QB35,11,190,420,319.7,43.2,405,78
328,11,,John Kelly,LAR,RB88,9,244,413,309.1,36.7,918,590
329,11,,Cameron Meredith,NE,WR112,10,222,393,301.1,39.3,677,348
330,11,,KeeSean Johnson,ARI,WR113,12,124,383,253.9,67,315,-15
331,11,,Spencer Ware,IND,RB89,6,204,393,285.1,40.2,352,21
332,11,,Josh Gordon,NE,WR114,10,108,374,249.7,76,191,-141
333,11,,Miami (MIA),,DST29,5,211,361,309.5,28.7,277,-56
334,11,,Cameron Artis-Payne,CAR,RB90,7,237,415,325.1,29.5,334,0
335,11,,Mike Weber,DAL,RB91,8,235,504,319.1,54,303,-32
336,11,,Geoff Swaim,JAC,TE41,10,183,375,271.7,58.9,308,-28
337,11,,Bilal Powell,NYJ,RB92,4,211,450,311.9,50.6,345,8
338,11,,J'Mon Moore,GB,WR115,11,250,383,307.2,32.5,923,585
339,11,,Qadree Ollison,ATL,RB93,9,195,391,289.3,55.5,293,-46
340,11,,Daniel Jones,NYG,QB36,11,202,417,314,46,262,-78
341,11,,Rod Smith,NYG,RB94,11,235,516,326,43.9,"1,018.00",677
342,11,,Matt Bryant,FA,K27,,197,320,268.4,38.6,329,-13
343,11,,Bruce Anderson,TB,RB95,7,173,330,271.5,48.3,298,-45
344,11,,Dustin Hopkins,WAS,K28,10,216,336,313.9,17.8,311,-33
345,11,,Justin Watson,TB,WR116,7,197,342,274.6,41.3,434,89
346,12,,Kendrick Bourne,SF,WR117,4,179,392,301.2,40.7,414,68
347,12,,Tampa Bay (TB),,DST30,7,233,347,308.6,25.1,304,-43
348,12,,Trent Taylor,SF,WR118,4,174,500,284.1,67.8,343,-5
349,12,,Jace Sternberger,GB,TE42,11,173,386,285.2,48.6,342,-7
350,12,,Hunter Renfrow,OAK,WR119,6,175,378,269.2,60.3,312,-38
351,12,,Maurice Harris,NE,WR120,10,169,379,271.6,47.3,322,-29
352,12,,Vernon Davis,WAS,TE43,10,191,343,283.8,47.7,461,109
353,12,,Blake Jarwin,DAL,TE44,8,178,360,279.2,44.3,355,2
