Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Ty Johnson,DET,16.1,66.8,0.5,10.2,77.1,0.4,0.1,24.5
Jordan Scarlett,CAR,27.7,110.5,0.8,6.9,48.3,0.1,0.1,24.4
Jordan Wilkins,IND,28.3,122,0.9,4.9,34.3,0.2,0.2,24.3
Kenneth Dixon,BAL,22.7,102.7,0.7,5.4,54.3,0.2,0.1,23.9
Damarea Crockett,HOU,28.9,117.3,0.8,5,37.7,0.1,0.1,22.9
Brandon Bolden,NE,10.3,73.5,2.2,1.3,14.4,0.1,0.5,22.2
Rod Smith,NYG,18.7,97.5,0.8,5.7,39.2,0.2,0.1,22.1
Spencer Ware,IND,10,77.6,0.6,6.7,51.6,0.4,0.2,21.9
C.J. Prosise,SEA,11.2,39.1,0,11.7,84.5,0.5,0,21.5
Josh Ferguson,HOU,26.2,105.9,0.7,3,22.7,0.2,0.1,19.2
Travis Homer,SEA,22.1,101,0.6,3.2,29,0.1,0,18.8
Ameer Abdullah,MIN,16.9,52.9,0.3,7.3,61.8,0.4,0.1,18.7
Dwayne Washington,NO,25.4,105.9,0.6,2.9,20.6,0.1,0.1,18
James Develin,NE,6.1,22.7,1.1,6.8,47.4,0.2,0,17.9
Mark Walton,MIA,23.1,93.2,0.4,4.4,30.9,0.1,0.2,17.6
Anthony Sherman,KC,6.7,19.7,0.2,6.8,69.4,0.7,0,17.4
Trayveon Williams,CIN,13.7,82.9,0.4,4.3,32.9,0.1,0.1,16.7
Trenton Cannon,NYJ,15.2,57.4,0.3,5.7,42.2,0.1,0.1,14.9
Darius Jackson,DAL,15.6,48.9,0.4,5.8,37.2,0.1,0,14.1
Detrez Newsome,LAC,6.9,30.3,0.3,4.5,49.3,0.4,0,14
Mike Boone,MIN,19.1,75,0.6,2.7,15.7,0,0.1,13.8
Alex Armah,CAR,18.5,53.3,0.4,3.3,28.9,0.2,0,13.3
Zach Line,NO,7.1,32.3,0.4,4.3,33.2,0.3,0.1,12.5
Thomas Rawls,JAC,12.3,46.9,0.2,3.9,41.3,0.1,0,12.5
Raheem Mostert,SF,13.4,82.3,0.4,1.2,4.2,0,0,11.9
Trey Edmunds,PIT,10.9,45.1,0.8,2,14.4,0,0,11.6
Elijhaa Penny,NYG,6.3,24.9,0.2,5.4,44.6,0.2,0.1,11.5
