"Unemployment, total (% of labour force)"
"175"," Guinea","4.5","","4.5","","4.6","","4.6","","4.6","","4.5","","4.5","","4.5","","4.5","","4.5","","4.5","","4.5","a"
"177"," Guinea-Bissau","6.4","","6.5","","6.5","","6.5","","6.3","","6.3","","6.3","","6.3","","6.2","","6.2","","6.2","","6.1","a"
"125"," Guyana","12.5","","12.1","","13.1","","11.8","","10.9","","10.8","","11.1","","11.2","","11.7","","11.9","","11.9","","11.8","a"
"168"," Haiti","7.7","","7.0","","8.6","","15.0","","16.0","","13.7","","14.1","","13.9","","13.9","","14.1","","14.0","","14.0","a"
"133"," Honduras","4.6","","3.2","","3.6","","4.0","","4.1","","4.3","","3.8","","4.1","","5.5","","4.6","","4.7","","4.5","a"
"7"," Hong Kong, China (SAR)","1.8","","3.2","","4.9","","5.6","","4.3","","3.4","","3.3","","3.4","","3.3","","3.3","","3.4","","3.2","a"
"45"," Hungary","9.8","","10.2","","6.6","","7.2","","11.2","","11.0","","11.0","","10.2","","7.7","","6.8","","5.1","","4.3","a"
"6"," Iceland","2.6","","5.2","","1.9","","2.6","","7.6","","7.0","","6.0","","5.4","","4.9","","4.0","","3.0","","2.9","a"
"130"," India","3.8","","3.7","","4.3","","4.4","","3.5","","3.5","","3.6","","3.5","","3.4","","3.5","","3.5","","3.5","a"
"116"," Indonesia","2.6","","3.8","","6.1","","7.7","","5.6","","5.2","","4.5","","4.3","","4.1","","4.5","","4.1","","4.3","a"
"60"," Iran (Islamic Republic of)","11.1","","9.0","","14.6","","12.1","","13.5","","12.3","","12.2","","10.4","","10.6","","11.1","","12.4","","13.1","a"
"120"," Iraq","17.6","","17.7","","18.0","","18.0","","11.2","","8.0","","8.2","","7.9","","7.6","","7.7","","8.0","","8.2","a"
"4"," Ireland","15.8","","12.0","","4.3","","4.3","","13.9","","14.6","","14.7","","13.0","","11.3","","9.4","","7.9","","6.4","a"
"22"," Israel","13.4","","8.8","","11.1","","11.3","","8.5","","7.1","","6.9","","6.2","","5.9","","5.3","","4.8","","4.3","a"
"28"," Italy","10.1","","11.7","","10.8","","7.7","","8.4","","8.4","","10.7","","12.2","","12.7","","11.9","","11.7","","11.3","a"
"97"," Jamaica","15.7","","16.2","","15.5","","10.9","","12.4","","12.7","","13.9","","15.3","","13.7","","13.5","","13.2","","12.5","a"
"19"," Japan","2.1","","3.2","","4.7","","4.4","","5.1","","4.6","","4.4","","4.0","","3.6","","3.3","","3.1","","2.8","a"
"95"," Jordan","19.9","","14.6","","13.7","","14.8","","12.5","","12.9","","12.2","","12.6","","11.9","","13.1","","15.3","","14.9","a"
"58"," Kazakhstan","1.1","","11.0","","12.8","","8.1","","5.8","","5.4","","5.3","","5.2","","5.1","","4.9","","5.0","","4.9","a"
"142"," Kenya","10.2","","10.1","","10.1","","10.5","","12.1","","12.0","","11.9","","11.8","","11.7","","11.6","","11.5","","11.5","a"
"n.a"," Korea (Democratic People's Rep. of)","8.1","","7.4","","4.5","","4.5","","4.6","","4.5","","4.5","","4.5","","4.5","","4.5","","4.7","","4.8","a"
"22"," Korea (Republic of)","2.4","","2.1","","4.4","","3.7","","3.7","","3.4","","3.2","","3.1","","3.5","","3.6","","3.7","","3.8","a"
"56"," Kuwait","0.7","","2.1","","0.8","","2.0","","1.8","","3.6","","2.7","","2.6","","2.9","","2.2","","2.1","","2.1","a"
"122"," Kyrgyzstan","5.5","","5.5","","7.5","","8.1","","8.6","","8.5","","8.4","","8.3","","8.1","","7.6","","7.2","","7.3","a"
"139"," Lao People's Democratic Republic","2.6","","2.6","","1.8","","1.4","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","a"
"41"," Latvia","20.0","","20.2","","14.2","","10.0","","19.5","","16.2","","15.1","","11.9","","10.9","","9.9","","9.6","","9.1","a"
"80"," Lebanon","9.1","","8.6","","7.8","","8.1","","6.3","","6.1","","6.2","","6.2","","6.2","","6.2","","6.2","","6.3","a"
"159"," Lesotho","36.4","","41.6","","23.0","","37.2","","25.9","","28.2","","23.2","","24.6","","24.8","","27.0","","27.8","","27.3","a"
"181"," Liberia","5.6","","5.7","","5.6","","5.6","","2.3","","2.3","","2.3","","2.3","","2.3","","2.3","","2.3","","2.4","a"
"108"," Libya","20.2","","18.7","","19.8","","20.0","","18.6","","15.8","","19.0","","18.7","","18.5","","18.4","","18.4","","17.7","a"
"35"," Lithuania","17.6","","17.5","","15.9","","8.3","","17.8","","15.4","","13.4","","11.8","","10.7","","9.1","","7.9","","7.1","a"
"21"," Luxembourg","1.5","","2.9","","2.4","","4.5","","4.4","","4.9","","5.1","","5.9","","5.9","","6.7","","6.3","","5.7","a"
"161"," Madagascar","5.8","","5.8","","5.8","","2.3","","3.8","","2.3","","0.6","","0.9","","1.2","","1.8","","1.8","","1.8","a"
"171"," Malawi","7.7","","7.7","","7.7","","7.8","","6.7","","6.5","","6.3","","6.0","","5.9","","5.9","","6.0","","6.0","a"
"57"," Malaysia","3.8","","3.1","","3.0","","3.5","","3.3","","3.1","","3.0","","3.1","","2.9","","3.1","","3.4","","3.4","a"
"101"," Maldives","0.8","","0.8","","2.0","","3.8","","4.6","","4.7","","5.1","","5.0","","5.2","","5.1","","5.0","","5.0","a"
"182"," Mali","3.1","","3.1","","5.5","","9.5","","8.1","","6.9","","7.1","","7.3","","6.4","","7.7","","7.8","","7.9","a"
"29"," Malta","6.4","","6.1","","6.3","","6.9","","6.9","","6.4","","6.3","","6.4","","5.8","","5.4","","4.7","","4.3","a"
"159"," Mauritania","9.8","","10.8","","10.7","","10.4","","10.2","","10.2","","10.1","","10.1","","10.0","","10.0","","10.1","","10.2","a"
"65"," Mauritius","10.1","","9.6","","5.4","","9.6","","7.7","","7.9","","8.2","","8.0","","7.7","","7.9","","7.3","","7.2","a"
